"location" "new_cases" "new_deaths"
"676" "Argentina" 131082 75
"677" "Argentina" 128402 138
"678" "Argentina" 139853 93
"679" "Argentina" 96652 88
"680" "Argentina" 65241 51
"681" "Argentina" 102458 191
"682" "Argentina" 120982 189
"683" "Argentina" 128321 208
"684" "Argentina" 129709 181
"685" "Argentina" 118171 160
"686" "Argentina" 98146 134
"687" "Argentina" 69884 65
"688" "Argentina" 78121 276
"689" "Argentina" 100863 259
"690" "Argentina" 88503 316
"691" "Argentina" 77729 333
"692" "Argentina" 63884 305
"693" "Argentina" 41978 179
"694" "Argentina" 21570 152
"695" "Argentina" 43472 285
"696" "Argentina" 49122 240
"697" "Argentina" 45070 321
"698" "Argentina" 42437 318
"699" "Argentina" 40094 287
"700" "Argentina" 21836 145
"701" "Argentina" 12664 100
"702" "Argentina" 25406 259
"703" "Argentina" 32790 284
"704" "Argentina" 27252 217
"705" "Argentina" 25110 263
"706" "Argentina" 16503 152
"707" "Argentina" 11322 128
"708" "Argentina" 6289 94
"709" "Argentina" 13050 268
"710" "Argentina" 18573 236
"711" "Argentina" 17034 180
"712" "Argentina" 16650 159
"713" "Argentina" 15389 138
"714" "Argentina" 7807 123
"715" "Argentina" 4450 93
"716" "Argentina" 11170 173
"717" "Argentina" 16950 167
"718" "Argentina" 12564 157
"719" "Argentina" 10298 97
"720" "Argentina" 9487 86
"721" "Argentina" 5595 90
"722" "Argentina" 3610 72
"723" "Argentina" 3478 32
"724" "Argentina" 3520 105
"725" "Argentina" 8141 133
"726" "Argentina" 9219 141
"727" "Argentina" 8362 93
"728" "Argentina" 4430 84
"729" "Argentina" 2274 60
"730" "Argentina" 6286 74
"731" "Argentina" 6474 59
"732" "Argentina" 6096 54
"733" "Argentina" 6137 54
"734" "Argentina" 5615 42
"735" "Argentina" 2986 71
"736" "Argentina" 1236 65
"737" "Argentina" 4647 70
"738" "Argentina" 5076 38
"739" "Argentina" 4681 39
"740" "Argentina" 4577 29
"741" "Argentina" 14416 76
"742" "Argentina" 1697 44
"743" "Argentina" 1227 11
"744" "Argentina" 3614 105
"745" "Argentina" 4690 76
"746" "Argentina" 3603 77
"747" "Argentina" 1580 28
"748" "Argentina" 2572 66
"749" "Argentina" 1445 58
"750" "Argentina" 818 5
"751" "Argentina" 2655 34
"752" "Argentina" 3432 27
"753" "Argentina" 2965 27
"754" "Argentina" 2784 22
"755" "Argentina" 1927 33
"756" "Argentina" 802 7
"757" "Argentina" 484 6
"758" "Argentina" 1974 21
"759" "Argentina" 2228 20
"760" "Argentina" 2082 38
"761" "Argentina" 1842 14
"762" "Argentina" 1993 36
"763" "Argentina" 840 3
"764" "Argentina" 453 1
"765" "Argentina" 1590 35
"766" "Argentina" 2077 35
"767" "Argentina" 1720 17
"768" "Argentina" 1428 21
"769" "Argentina" 593 21
"770" "Argentina" 551 17
"771" "Argentina" 428 0
"772" "Argentina" 0 0
"773" "Argentina" 0 0
"774" "Argentina" 0 0
"775" "Argentina" 0 0
"776" "Argentina" 0 0
"777" "Argentina" 0 0
"778" "Argentina" 0 0
"779" "Argentina" 11307 198
"780" "Argentina" 0 0
"781" "Argentina" 0 0
"782" "Argentina" 0 0
"783" "Argentina" 0 0
"784" "Argentina" 0 0
"785" "Argentina" 11443 111
"786" "Argentina" 0 0
"787" "Argentina" 0 0
"788" "Argentina" 0 0
"789" "Argentina" 0 0
"790" "Argentina" 0 0
"791" "Argentina" 0 0
"792" "Argentina" 17646 76
"793" "Argentina" 0 0
"794" "Argentina" 0 0
"795" "Argentina" 0 0
"796" "Argentina" 0 0
"797" "Argentina" 0 0
"798" "Argentina" 0 0
"799" "Argentina" 33989 47
"800" "Argentina" 0 0
"801" "Argentina" 0 0
"802" "Argentina" 0 0
"803" "Argentina" 0 0
"804" "Argentina" 0 0
"805" "Argentina" 0 0
"806" "Argentina" 43487 49
"807" "Argentina" 0 0
"808" "Argentina" 0 0
"809" "Argentina" 0 0
"810" "Argentina" 0 0
"811" "Argentina" 0 0
"812" "Argentina" 0 0
"813" "Argentina" 51778 64
"814" "Argentina" 0 0
"815" "Argentina" 0 0
"816" "Argentina" 0 0
"817" "Argentina" 0 0
"818" "Argentina" 0 0
"819" "Argentina" 0 0
"820" "Argentina" 46045 84
"821" "Argentina" 0 0
"822" "Argentina" 0 0
"823" "Argentina" 0 0
"824" "Argentina" 0 0
"825" "Argentina" 0 0
"826" "Argentina" 0 0
"827" "Argentina" 0 0
"828" "Argentina" 0 0
"829" "Argentina" 36835 21
"830" "Argentina" 0 0
"831" "Argentina" 0 0
"832" "Argentina" 0 0
"833" "Argentina" 0 0
"834" "Argentina" 28039 22
"835" "Argentina" 0 0
"836" "Argentina" 0 0
"837" "Argentina" 0 0
"838" "Argentina" 0 0
"839" "Argentina" 0 0
"840" "Argentina" 0 0
"841" "Argentina" 25680 54
"842" "Argentina" 0 0
"843" "Argentina" 0 0
"844" "Argentina" 0 0
"845" "Argentina" 0 0
"846" "Argentina" 0 0
"847" "Argentina" 0 0
"848" "Argentina" 27154 39
"849" "Argentina" 0 0
"850" "Argentina" 0 0
"851" "Argentina" 0 0
"852" "Argentina" 0 0
"853" "Argentina" 0 0
"854" "Argentina" 0 0
"855" "Argentina" 31845 36
"856" "Argentina" 0 0
"857" "Argentina" 0 0
"858" "Argentina" 0 0
"859" "Argentina" 0 0
"860" "Argentina" 0 0
"861" "Argentina" 0 0
"862" "Argentina" 39656 57
"863" "Argentina" 0 0
"864" "Argentina" 0 0
"865" "Argentina" 0 0
"866" "Argentina" 0 0
"867" "Argentina" 0 0
"868" "Argentina" 0 0
"869" "Argentina" 41735 76
"870" "Argentina" 0 0
"871" "Argentina" 0 0
"872" "Argentina" 0 0
"873" "Argentina" 0 0
"874" "Argentina" 0 0
"875" "Argentina" 0 0
"876" "Argentina" 52745 91
"877" "Argentina" 0 0
"878" "Argentina" 0 0
"879" "Argentina" 0 0
"880" "Argentina" 0 0
"881" "Argentina" 0 0
"882" "Argentina" 0 0
"883" "Argentina" 42227 71
"884" "Argentina" 0 0
"885" "Argentina" 0 0
"886" "Argentina" 0 0
"887" "Argentina" 0 0
"888" "Argentina" 0 0
"889" "Argentina" 0 0
"890" "Argentina" 31198 126
"891" "Argentina" 0 0
"892" "Argentina" 0 0
"893" "Argentina" 0 0
"894" "Argentina" 0 0
"895" "Argentina" 0 0
"896" "Argentina" 0 0
"897" "Argentina" 24659 80
"898" "Argentina" 0 0
"899" "Argentina" 0 0
"900" "Argentina" 0 0
"901" "Argentina" 0 0
"902" "Argentina" 0 0
"903" "Argentina" 0 0
"904" "Argentina" 19834 65
"905" "Argentina" 0 0
"906" "Argentina" 0 0
"907" "Argentina" 0 0
"908" "Argentina" 0 0
"909" "Argentina" 0 0
"910" "Argentina" 0 0
"911" "Argentina" 11636 58
"912" "Bolivia" 7 1
"913" "Bolivia" 16 3
"914" "Bolivia" 10 2
"915" "Bolivia" 8 1
"916" "Bolivia" 8 1
"917" "Bolivia" 9 1
"918" "Bolivia" 7 1
"919" "Bolivia" 18 0
"920" "Bolivia" 26 1
"921" "Bolivia" 11 3
"922" "Bolivia" 16 1
"923" "Bolivia" 54 3
"924" "Bolivia" 4 1
"925" "Bolivia" 7 1
"926" "Bolivia" 25 4
"927" "Bolivia" 30 3
"928" "Bolivia" 24 1
"929" "Bolivia" 43 0
"930" "Bolivia" 44 1
"931" "Bolivia" 24 2
"932" "Bolivia" 28 0
"933" "Bolivia" 27 1
"934" "Bolivia" 44 1
"935" "Bolivia" 34 1
"936" "Bolivia" 11 3
"937" "Bolivia" 94 6
"938" "Bolivia" 104 1
"939" "Bolivia" 59 2
"940" "Bolivia" 84 4
"941" "Bolivia" 64 3
"942" "Bolivia" 39 2
"943" "Bolivia" 57 4
"944" "Bolivia" 57 3
"945" "Bolivia" 62 4
"946" "Bolivia" 241 5
